
Tiempo	Valor integrado
     0.00000	     0.00000
     0.01000	     0.00010
     0.02000	     0.00030
     0.03000	     0.00060
     0.04000	     0.00100
     0.05000	     0.00150
     0.06000	     0.00210
     0.07000	     0.00280
     0.08000	     0.00360
     0.09000	     0.00450
     0.10000	     0.00550
     0.11000	     0.00660
     0.12000	     0.00780
     0.13000	     0.00910
     0.14000	     0.01050
     0.15000	     0.01200
     0.16000	     0.01360
     0.17000	     0.01530
     0.18000	     0.01710
     0.19000	     0.01900
     0.20000	     0.02100
     0.21000	     0.02310
     0.22000	     0.02530
     0.23000	     0.02760
     0.24000	     0.03000
     0.25000	     0.03250
     0.26000	     0.03510
     0.27000	     0.03780
     0.28000	     0.04060
     0.29000	     0.04350
     0.30000	     0.04650
     0.31000	     0.04960
     0.32000	     0.05280
     0.33000	     0.05610
     0.34000	     0.05950
     0.35000	     0.06300
     0.36000	     0.06660
     0.37000	     0.07030
     0.38000	     0.07410
     0.39000	     0.07800
     0.40000	     0.08200
     0.41000	     0.08610
     0.42000	     0.09030
     0.43000	     0.09460
     0.44000	     0.09900
     0.45000	     0.10350
     0.46000	     0.10810
     0.47000	     0.11280
     0.48000	     0.11760
     0.49000	     0.12250
     0.50000	     0.12750
     0.51000	     0.13260
     0.52000	     0.13780
     0.53000	     0.14310
     0.54000	     0.14850
     0.55000	     0.15400
     0.56000	     0.15960
     0.57000	     0.16530
     0.58000	     0.17110
     0.59000	     0.17700
     0.60000	     0.18300
     0.61000	     0.18910
     0.62000	     0.19530
     0.63000	     0.20160
     0.64000	     0.20800
     0.65000	     0.21450
     0.66000	     0.22110
     0.67000	     0.22780
     0.68000	     0.23460
     0.69000	     0.24150
     0.70000	     0.24850
     0.71000	     0.25560
     0.72000	     0.26280
     0.73000	     0.27010
     0.74000	     0.27750
     0.75000	     0.28500
     0.76000	     0.29260
     0.77000	     0.30030
     0.78000	     0.30810
     0.79000	     0.31600
     0.80000	     0.32400
     0.81000	     0.33210
     0.82000	     0.34030
     0.83000	     0.34860
     0.84000	     0.35700
     0.85000	     0.36550
     0.86000	     0.37410
     0.87000	     0.38280
     0.88000	     0.39160
     0.89000	     0.40050
     0.90000	     0.40950
     0.91000	     0.41860
     0.92000	     0.42780
     0.93000	     0.43710
     0.94000	     0.44650
     0.95000	     0.45600
     0.96000	     0.46560
     0.97000	     0.47530
     0.98000	     0.48510
     0.99000	     0.49500
